Price,Close,High,Low,Open,Volume
Ticker,LINK-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD
Datetime,,,,,
2026-01-01 00:00:00+00:00,12.22460651397705,12.228672981262207,12.186948776245117,12.186948776245117,298880
2026-01-01 01:00:00+00:00,12.246442794799805,12.24649715423584,12.220662117004395,12.220662117004395,596800
2026-01-01 02:00:00+00:00,12.223594665527344,12.245481491088867,12.219436645507812,12.245481491088867,0
2026-01-01 03:00:00+00:00,12.203289031982422,12.227540969848633,12.203234672546387,12.223348617553711,0
2026-01-01 04:00:00+00:00,12.143938064575195,12.20162582397461,12.143938064575195,12.20156192779541,6372800
2026-01-01 05:00:00+00:00,12.244256019592285,12.251893997192383,12.144499778747559,12.144499778747559,7543680
2026-01-01 06:00:00+00:00,12.207186698913574,12.249329566955566,12.207186698913574,12.244253158569336,0
2026-01-01 07:00:00+00:00,12.166747093200684,12.206517219543457,12.166183471679688,12.206517219543457,0
2026-01-01 08:00:00+00:00,12.234023094177246,12.240281105041504,12.165218353271484,12.166444778442383,0
2026-01-01 09:00:00+00:00,12.249202728271484,12.271028518676758,12.238243103027344,12.238243103027344,11858176
2026-01-01 10:00:00+00:00,12.24627685546875,12.252333641052246,12.239768981933594,12.249679565429688,0
2026-01-01 11:00:00+00:00,12.262139320373535,12.263304710388184,12.245262145996094,12.245649337768555,0
2026-01-01 12:00:00+00:00,12.240921974182129,12.27503490447998,12.24038028717041,12.270105361938477,0
2026-01-01 13:00:00+00:00,12.269571304321289,12.269571304321289,12.233697891235352,12.239706993103027,0
2026-01-01 14:00:00+00:00,12.289809226989746,12.293102264404297,12.239959716796875,12.273367881774902,0
2026-01-01 15:00:00+00:00,12.36859130859375,12.36859130859375,12.275199890136719,12.29281997680664,1772384
2026-01-01 16:00:00+00:00,12.341805458068848,12.376912117004395,12.33344841003418,12.376912117004395,0
2026-01-01 17:00:00+00:00,12.42235279083252,12.435478210449219,12.346110343933105,12.346110343933105,0
2026-01-01 18:00:00+00:00,12.419962882995605,12.433935165405273,12.41718578338623,12.430209159851074,0
