Price,Close,High,Low,Open,Volume
Ticker,LINK-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD
Date,,,,,
2026-01-01,12.586158752441406,12.60582160949707,12.143738746643066,12.188225746154785,424088085
2026-01-02,13.2632417678833,13.405162811279297,12.57580280303955,12.586124420166016,833520947
2026-01-03,13.231463432312012,13.355284690856934,12.993575096130371,13.263481140136719,510726074
2026-01-04,13.398759841918945,13.557690620422363,13.226285934448242,13.231463432312012,583816633
2026-01-05,13.917906761169434,14.114192962646484,13.399941444396973,13.399941444396973,926822463
2026-01-06,14.041692733764648,14.18685245513916,13.499103546142578,13.917684555053711,997947576
2026-01-07,13.428935050964355,14.041777610778809,13.316845893859863,14.041324615478516,762040205
2026-01-08,13.215398788452148,13.529767990112305,13.043404579162598,13.428935050964355,675466736
2026-01-09,13.117958068847656,13.407736778259277,13.061969757080078,13.21545696258545,561561184
2026-01-10,13.12912654876709,13.226133346557617,13.064697265625,13.11807918548584,201046969
2026-01-11,13.174175262451172,13.326699256896973,13.070013999938965,13.128449440002441,235889877
2026-01-12,13.068760871887207,13.488855361938477,12.966285705566406,13.174328804016113,385293417
2026-01-13,14.042167663574219,14.15237808227539,13.054830551147461,13.068946838378906,543318706
2026-01-14,14.114400863647461,14.376190185546875,13.864969253540039,14.042203903198242,595218601
2026-01-15,13.784297943115234,14.189085006713867,13.581501007080078,14.114208221435547,559488733
2026-01-16,13.727490425109863,13.856759071350098,13.457235336303711,13.784555435180664,359299335
2026-01-17,13.735365867614746,13.883112907409668,13.636481285095215,13.727386474609375,221107572
2026-01-18,13.329924583435059,13.862284660339355,13.328983306884766,13.735365867614746,318489778
2026-01-19,12.877442359924316,13.329689025878906,12.73178482055664,13.329689025878906,579914287
2026-01-20,12.113679885864258,12.88645076751709,12.108063697814941,12.877457618713379,440295539
2026-01-21,12.386194229125977,12.637521743774414,11.937912940979004,12.11361026763916,509903013
2026-01-22,12.242456436157227,12.564042091369629,12.12511920928955,12.38618278503418,330622925
2026-01-23,12.208968162536621,12.441727638244629,12.056083679199219,12.242473602294922,281712703
2026-01-24,12.193202018737793,12.260381698608398,12.128175735473633,12.208894729614258,180740178
2026-01-25,11.505537986755371,12.196954727172852,11.380248069763184,12.193097114562988,434691233
2026-01-26,11.942946434020996,12.098298072814941,11.505500793457031,11.505500793457031,358161681
2026-01-27,12.035913467407227,12.155853271484375,11.839158058166504,11.942713737487793,356066800
