Price,Close,High,Low,Open,Volume
Ticker,AVAX-USD,AVAX-USD,AVAX-USD,AVAX-USD,AVAX-USD
Date,,,,,
2026-01-01,13.549633026123047,13.645742416381836,12.219764709472656,12.304884910583496,452484845
2026-01-02,13.79994010925293,13.941411018371582,13.112871170043945,13.549752235412598,454881886
2026-01-03,13.98840045928955,14.337760925292969,13.703978538513184,13.799805641174316,385488926
2026-01-04,14.22736930847168,14.455795288085938,13.909167289733887,13.98840045928955,329738307
2026-01-05,14.457419395446777,14.698128700256348,13.965072631835938,14.227408409118652,474422003
2026-01-06,14.592727661132812,14.790550231933594,14.24998664855957,14.457419395446777,505830422
2026-01-07,14.109505653381348,14.592921257019043,13.89313793182373,14.592604637145996,366729942
2026-01-08,13.878828048706055,14.209395408630371,13.605966567993164,14.109505653381348,304474272
2026-01-09,13.772605895996094,14.174337387084961,13.641915321350098,13.879074096679688,302368339
2026-01-10,13.719738960266113,13.917746543884277,13.635039329528809,13.772462844848633,133561469
2026-01-11,13.677188873291016,13.95007610321045,13.509325981140137,13.719738960266113,185389702
2026-01-12,13.501553535461426,14.183492660522461,13.443548202514648,13.677188873291016,521133495
2026-01-13,14.737810134887695,14.809405326843262,13.46965503692627,13.501679420471191,599099026
2026-01-14,14.619799613952637,14.910004615783691,14.415580749511719,14.737810134887695,464422551
2026-01-15,13.81952953338623,14.620011329650879,13.652315139770508,14.61968994140625,392082413
2026-01-16,13.585149765014648,13.849106788635254,13.225909233093262,13.81952953338623,349728843
2026-01-17,13.733805656433105,13.913283348083496,13.532614707946777,13.585149765014648,201351135
2026-01-18,12.995943069458008,13.806906700134277,12.9942626953125,13.733805656433105,228420639
2026-01-19,12.721200942993164,12.99648666381836,12.487961769104004,12.99648666381836,421741478
2026-01-20,12.084134101867676,12.738021850585938,12.08247184753418,12.721335411071777,388882564
2026-01-21,12.402188301086426,12.681902885437012,11.920079231262207,12.08399486541748,413232612
2026-01-22,12.174766540527344,12.601247787475586,12.044275283813477,12.402188301086426,227345606
2026-01-23,12.118390083312988,12.441986083984375,12.017367362976074,12.174766540527344,274474095
