Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Date,,,,,
2026-01-01,3000.394287109375,3006.01025390625,2966.84521484375,2966.997314453125,10268796662
2026-01-02,3124.422607421875,3146.984375,2989.9013671875,3000.453125,25242778003
2026-01-03,3125.91748046875,3135.025634765625,3077.4658203125,3124.310302734375,11460707919
2026-01-04,3140.71044921875,3160.551025390625,3119.427490234375,3125.960205078125,13890479323
2026-01-05,3226.13037109375,3261.245849609375,3134.0927734375,3141.486328125,27211995956
2026-01-06,3295.94677734375,3303.5634765625,3184.0146484375,3226.116455078125,27853981622
2026-01-07,3166.843994140625,3296.394287109375,3126.552001953125,3295.91259765625,22665982583
2026-01-08,3104.382568359375,3179.866455078125,3052.509765625,3166.924072265625,22760237888
2026-01-09,3083.047119140625,3140.709228515625,3058.096923828125,3104.334716796875,18879517395
2026-01-10,3082.39599609375,3099.16748046875,3075.135498046875,3083.16650390625,6960662969
2026-01-11,3118.88525390625,3141.9580078125,3080.747802734375,3082.407470703125,10497219711
2026-01-12,3092.3251953125,3166.219970703125,3068.07275390625,3118.828857421875,21152711365
2026-01-13,3322.095458984375,3352.580078125,3088.512939453125,3092.008544921875,27237310134
2026-01-14,3354.72265625,3397.897705078125,3280.378662109375,3322.192138671875,33926411912
2026-01-15,3317.101318359375,3382.44873046875,3276.820068359375,3354.765869140625,27598686935
2026-01-16,3295.482177734375,3325.25048828125,3251.814453125,3317.341796875,22732887284
2026-01-17,3308.8642578125,3328.283447265625,3282.661865234375,3295.482666015625,11206492253
2026-01-18,3281.15771484375,3367.167724609375,3278.4267578125,3308.90576171875,13557863288
2026-01-19,3186.62109375,3282.65478515625,3166.0166015625,3282.19921875,27956112545
2026-01-20,2935.605712890625,3197.391845703125,2925.54345703125,3186.62109375,32985301273
2026-01-21,2978.901123046875,3064.390625,2867.264404296875,2935.882080078125,35797876195
2026-01-22,2949.63330078125,3034.338134765625,2905.562744140625,2979.307861328125,21993593333
2026-01-23,2953.25634765625,3013.9541015625,2892.52099609375,2949.44580078125,22417700837
2026-01-24,2948.74072265625,2965.46875,2942.444580078125,2953.23828125,8198666763
2026-01-25,2815.90234375,2955.016845703125,2785.896728515625,2948.534423828125,22414089670
2026-01-26,2926.45703125,2945.99755859375,2811.074951171875,2815.768798828125,29668620102
2026-01-27,3022.2109375,3031.03857421875,2898.3115234375,2926.201171875,27976005223
2026-01-28,3006.607421875,3040.718505859375,2981.589599609375,3022.237548828125,21751566455
2026-01-29,2818.232666015625,3008.03759765625,2751.64501953125,3006.26171875,37487198041
2026-01-30,2702.375244140625,2823.91455078125,2633.8388671875,2818.135498046875,41877689970
2026-01-31,2445.091796875,2709.53369140625,2248.69873046875,2702.301513671875,47569532203
2026-02-01,2267.96484375,2472.646240234375,2224.117919921875,2445.0693359375,40358630560
2026-02-02,2344.356689453125,2393.0634765625,2158.937255859375,2267.5625,48844346396
2026-02-03,2227.558837890625,2357.2060546875,2109.05517578125,2344.44580078125,47906083919
2026-02-04,2143.504150390625,2291.13134765625,2074.102783203125,2227.967041015625,45219604814
2026-02-05,1821.68310546875,2167.139892578125,1818.664306640625,2143.618896484375,60381662655
2026-02-06,2063.386962890625,2090.328125,1748.627685546875,1821.12939453125,64998454203
2026-02-07,2090.54931640625,2115.824951171875,1995.9185791015625,2063.333740234375,41145430304
2026-02-08,2088.762939453125,2148.12060546875,2066.3837890625,2090.633544921875,19541713443
2026-02-09,2103.567626953125,2144.97607421875,2008.3623046875,2087.92138671875,26750982266
2026-02-10,2019.4974365234375,2122.021484375,1990.1405029296875,2104.181884765625,23267337087
2026-02-11,1940.621337890625,2030.409423828125,1903.6851806640625,2019.580078125,23922680362
2026-02-12,1946.940673828125,1999.5028076171875,1897.3348388671875,1940.8411865234375,20106364835
2026-02-13,2048.52734375,2069.456787109375,1924.136962890625,1946.6107177734375,20412430639
2026-02-14,2086.009765625,2105.067626953125,2042.6414794921875,2048.330322265625,16925555543
2026-02-15,1966.04296875,2100.47900390625,1929.3944091796875,2085.95361328125,31030538835
2026-02-16,1997.917724609375,2021.0836181640625,1938.5450439453125,1965.9232177734375,19219250473
2026-02-17,1992.1943359375,2013.8560791015625,1941.7789306640625,1997.9217529296875,20929890501
2026-02-18,1953.97412109375,2037.1585693359375,1923.8134765625,1992.195068359375,20187307041
2026-02-19,1948.2010498046875,1985.8076171875,1906.822021484375,1953.994140625,17380103826
2026-02-20,1969.0223388671875,1980.2437744140625,1923.622802734375,1948.268798828125,21682976627
2026-02-21,1973.7371826171875,1994.8277587890625,1955.794189453125,1968.86181640625,11561261802
2026-02-22,1957.805908203125,1982.2142333984375,1934.8607177734375,1973.57080078125,9488829492
2026-02-23,1855.5028076171875,1958.1396484375,1838.0416259765625,1958.1396484375,23731172668
2026-02-24,1852.969482421875,1868.3206787109375,1804.1136474609375,1855.4727783203125,18475122228
2026-02-25,2054.6279296875,2145.506103515625,1847.05419921875,1852.87548828125,27717195805
2026-02-26,2026.7926025390625,2082.78662109375,1976.3575439453125,2053.78271484375,23327720766
2026-02-27,1930.7618408203125,2062.627197265625,1888.6287841796875,2026.735107421875,21136821039
2026-02-28,1965.050537109375,1983.9927978515625,1837.303466796875,1930.7469482421875,21675923669
2026-03-01,1939.066650390625,2053.28564453125,1909.098388671875,1965.3902587890625,23649071468
